    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      9.10,      64.00031,       8.87179,     0.0001232,     0.0013724,     0.0008549,     0.0003198,     0.0001305,     0.0000484,     0.0000188
      9.20,      63.99974,       9.23008,     0.0001282,     0.0013819,     0.0008608,     0.0003220,     0.0001314,     0.0000488,     0.0000189
      9.30,      64.00031,       9.60710,     0.0001334,     0.0013914,     0.0008667,     0.0003242,     0.0001323,     0.0000491,     0.0000191
      9.40,      63.99974,      10.00261,     0.0001389,     0.0014007,     0.0008725,     0.0003264,     0.0001332,     0.0000494,     0.0000192
      9.50,      64.00031,      10.41598,     0.0001447,     0.0014097,     0.0008781,     0.0003285,     0.0001341,     0.0000498,     0.0000193
      9.60,      63.99974,      10.84622,     0.0001506,     0.0014185,     0.0008836,     0.0003305,     0.0001349,     0.0000501,     0.0000194
      9.70,      64.00031,      11.29204,     0.0001568,     0.0014269,     0.0008888,     0.0003325,     0.0001357,     0.0000504,     0.0000195
      9.80,      63.99974,      11.75188,     0.0001632,     0.0014348,     0.0008938,     0.0003343,     0.0001365,     0.0000506,     0.0000197
      9.90,      64.00031,      12.22391,     0.0001698,     0.0014423,     0.0008984,     0.0003360,     0.0001372,     0.0000509,     0.0000198
     10.00,      63.99919,      12.70619,     0.0001765,     0.0014492,     0.0009027,     0.0003377,     0.0001378,     0.0000512,     0.0000199
     10.10,      64.00031,      13.19663,     0.0001833,     0.0014555,     0.0009066,     0.0003391,     0.0001384,     0.0000514,     0.0000199
     10.20,      63.99974,      13.69312,     0.0001902,     0.0014612,     0.0009102,     0.0003405,     0.0001390,     0.0000516,     0.0000200
     10.30,      64.00031,      14.19346,     0.0001971,     0.0014663,     0.0009133,     0.0003416,     0.0001394,     0.0000518,     0.0000201
